,Rank,name,album,artist,release_date,duration_ms,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,explicit,duration_sec
0,1,Blinding Lights,Blinding Lights,The Weeknd,2019-11-29,201573,22,0.513,0.00147,0.796,0.000209,0.0938,-4.075,0.0629,171.017,4,0.345,False,201.573
1,2,Circles,Hollywood's Bleeding,Post Malone,2019-09-06,215280,89,0.695,0.192,0.762,0.00244,0.0863,-3.497,0.0395,120.042,4,0.553,False,215.28
2,3,The Box,Please Excuse Me for Being Antisocial,Roddy Ricch,2019-12-06,196652,86,0.896,0.104,0.586,0.0,0.79,-6.687,0.0559,116.971,4,0.642,True,196.652
3,4,Don't Start Now,Don't Start Now,Dua Lipa,2019-10-31,183290,84,0.794,0.0125,0.793,0.0,0.0952,-4.521,0.0842,123.941,4,0.677,False,183.29
4,5,ROCKSTAR (feat. Roddy Ricch),BLAME IT ON BABY,DaBaby,2020-04-17,181733,86,0.746,0.247,0.69,0.0,0.101,-7.956,0.164,89.977,4,0.497,True,181.733
5,6,Adore You,Fine Line,Harry Styles,2019-12-13,207133,87,0.676,0.0237,0.771,7e-06,0.102,-3.675,0.0483,99.048,4,0.569,False,207.133
6,7,Life Is Good (feat. Drake),Life Is Good (feat. Drake),Future,2020-01-10,237735,82,0.676,0.0706,0.609,0.0,0.152,-5.831,0.481,142.037,4,0.508,True,237.735
7,8,Memories,Memories,Maroon 5,2019-09-20,189486,38,0.764,0.837,0.32,0.0,0.0822,-7.209,0.0546,91.019,4,0.575,False,189.486
8,9,The Bones,GIRL,Maren Morris,2019-03-08,197293,79,0.612,0.278,0.57,0.0,0.0963,-6.642,0.0347,77.004,4,0.334,False,197.293
9,10,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,2019-05-17,182160,89,0.501,0.751,0.405,0.0,0.105,-5.679,0.0319,109.891,4,0.446,False,182.16
10,11,Say So,Hot Pink,Doja Cat,2019-11-07,237893,85,0.787,0.264,0.673,3.35e-06,0.0904,-4.583,0.159,110.962,4,0.779,True,237.893
11,12,I Hope (feat. Charlie Puth),Goldmine,Gabby Barrett,2020-06-19,211605,69,0.563,0.171,0.576,0.0,0.158,-6.495,0.0401,75.019,4,0.412,False,211.605
12,13,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]",Jack Harlow,2020-06-24,227478,81,0.904,0.0631,0.723,0.0,0.185,-5.224,0.26,145.013,4,0.835,True,227.478
13,14,Dance Monkey,Dance Monkey,Tones And I,2019-05-10,209754,68,0.826,0.688,0.593,0.000161,0.17,-6.401,0.0976,98.083,4,0.541,False,209.754
14,15,Savage,Suga,Megan Thee Stallion,2020-03-06,155497,76,0.843,0.0252,0.741,0.0,0.096,-5.609,0.334,168.983,4,0.68,True,155.497
15,16,ROXANNE,ROXANNE,Arizona Zervas,2019-10-10,163636,84,0.621,0.0522,0.601,0.0,0.46,-5.616,0.148,116.735,5,0.457,True,163.636
16,17,Intentions (feat. Quavo),Changes,Justin Bieber,2020-02-14,212866,79,0.806,0.3,0.546,0.0,0.102,-6.637,0.0575,147.986,4,0.874,False,212.866
17,18,everything i wanted,everything i wanted,Billie Eilish,2019-11-13,245425,85,0.704,0.902,0.225,0.657,0.106,-14.454,0.0994,120.006,4,0.243,False,245.425
18,19,Roses - Imanbek Remix,Roses (Imanbek Remix),SAINt JHN,2019-10-09,176840,86,0.77,0.0167,0.724,0.0107,0.353,-5.484,0.0495,121.975,4,0.898,True,176.84
19,20,Watermelon Sugar,Fine Line,Harry Styles,2019-12-13,174000,91,0.548,0.122,0.816,0.0,0.335,-4.209,0.0465,95.39,4,0.557,False,174.0
20,21,Before You Go,Divinely Uninspired To A Hellish Extent (Extended Edition),Lewis Capaldi,2019-11-22,215106,87,0.459,0.604,0.575,0.0,0.0885,-4.858,0.0573,111.881,4,0.183,False,215.106
21,22,Falling,Falling,Trevor Daniel,2018-10-05,159381,40,0.785,0.123,0.431,0.0,0.0887,-8.756,0.0364,127.085,4,0.236,False,159.381
22,23,"10,000 Hours (with Justin Bieber)","10,000 Hours (with Justin Bieber)",Dan + Shay,2019-10-04,167693,82,0.654,0.153,0.63,0.0,0.111,-4.644,0.0259,89.991,4,0.43,False,167.693
23,24,WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),Cardi B,2020-08-07,187541,86,0.935,0.0194,0.454,0.0,0.0824,-7.509,0.375,133.073,4,0.357,True,187.541
24,25,Ballin' (with Roddy Ricch),Perfect Ten,Mustard,2019-06-28,180434,82,0.809,0.392,0.545,0.0,0.151,-6.678,0.0735,97.008,4,0.244,True,180.434
25,26,hot girl bummer,everything means nothing,blackbear,2020-08-21,188343,47,0.782,0.125,0.559,0.0,0.385,-7.106,0.0767,129.992,1,0.685,True,188.343
26,27,Blueberry Faygo,Blueberry Faygo,Lil Mosey,2020-02-07,162546,79,0.774,0.207,0.554,0.0,0.132,-7.909,0.0383,99.034,4,0.349,True,162.546
27,28,Heartless,After Hours,The Weeknd,2020-03-20,198266,80,0.537,0.0236,0.746,1.01e-06,0.156,-5.507,0.15,170.062,4,0.252,True,198.266
28,29,BOP,KIRK,DaBaby,2019-09-27,159714,81,0.769,0.189,0.787,0.0,0.129,-3.909,0.367,126.77,4,0.836,True,159.714
29,30,Lose You To Love Me,Rare,Selena Gomez,2020-01-10,206458,84,0.488,0.556,0.343,0.0,0.21,-8.985,0.0436,102.819,4,0.0978,False,206.458
30,31,Good as Hell,Cuz I Love You (Super Deluxe),Lizzo,2019-04-17,159735,76,0.682,0.256,0.919,0.0,0.442,-3.18,0.0875,95.982,4,0.535,False,159.735
31,32,Toosie Slide,Toosie Slide,Drake,2020-04-03,247058,79,0.834,0.321,0.454,6.15e-06,0.114,-9.75,0.201,81.618,4,0.837,True,247.058
32,33,Break My Heart,Future Nostalgia,Dua Lipa,2020-03-27,221820,82,0.73,0.167,0.729,1.39e-06,0.349,-3.434,0.0884,113.011,4,0.467,False,221.82
33,34,Chasin' You,If I Know Me,Morgan Wallen,2018-04-27,205453,79,0.631,0.657,0.591,0.0,0.11,-5.785,0.0277,97.074,4,0.489,False,205.453
34,35,Savage Love (Laxed - Siren Beat),Savage Love (Laxed - Siren Beat),Jawsh 685,2020-06-11,171374,83,0.767,0.234,0.481,0.0,0.269,-8.52,0.0803,150.076,4,0.761,True,171.374
35,36,No Guidance (feat. Drake),Indigo,Chris Brown,2019-06-28,260640,82,0.696,0.123,0.454,0.0,0.155,-6.756,0.153,92.928,4,0.136,True,260.64
36,37,My Oh My (feat. DaBaby),Romance,Camila Cabello,2019-12-06,170746,80,0.724,0.018,0.491,1.29e-05,0.0887,-6.024,0.0296,105.046,4,0.383,False,170.746
37,38,Dynamite,Dynamite (DayTime Version),BTS,2020-08-28,199053,75,0.746,0.0112,0.765,0.0,0.0936,-4.41,0.0993,114.044,4,0.737,False,199.053
38,39,Go Crazy,Slime & B,Chris Brown,2020-05-08,176960,82,0.755,0.316,0.578,0.0,0.25,-8.932,0.145,94.148,4,0.581,True,176.96
39,40,High Fashion (feat. Mustard),Please Excuse Me for Being Antisocial,Roddy Ricch,2019-12-06,220486,79,0.831,0.269,0.499,0.0,0.3,-8.442,0.114,97.956,4,0.511,True,220.486
40,41,Laugh Now Cry Later (feat. Lil Durk),Laugh Now Cry Later (feat. Lil Durk),Drake,2020-08-14,261492,85,0.761,0.244,0.518,3.47e-05,0.107,-8.871,0.134,133.976,4,0.522,True,261.492
41,42,Woah,Woah,Lil Baby,2019-11-08,183011,71,0.882,0.0177,0.602,0.0,0.178,-5.554,0.245,142.959,4,0.43,True,183.011
42,43,death bed (coffee for your head),death bed (coffee for your head),Powfu,2020-02-08,173333,87,0.726,0.731,0.431,0.0,0.696,-8.765,0.135,144.026,4,0.348,False,173.333
43,44,Señorita,Señorita,Shawn Mendes,2019-06-21,190960,84,0.759,0.037,0.54,0.0,0.0945,-6.039,0.0287,116.947,4,0.75,False,190.96
44,45,HIGHEST IN THE ROOM,HIGHEST IN THE ROOM,Travis Scott,2019-10-04,175720,86,0.598,0.0546,0.427,5.83e-06,0.21,-8.764,0.0317,76.469,4,0.0605,True,175.72
45,46,bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,194087,88,0.701,0.328,0.425,0.13,0.1,-10.965,0.375,135.128,4,0.562,False,194.087
46,47,Mood (feat. iann dior),Mood (feat. iann dior),24kGoldn,2020-07-24,140525,23,0.7,0.221,0.722,0.0,0.272,-3.558,0.0369,90.989,4,0.756,True,140.525
47,48,Rain On Me (with Ariana Grande),Rain On Me (with Ariana Grande),Lady Gaga,2020-05-22,182200,80,0.672,0.021,0.855,0.0,0.323,-3.764,0.0397,123.056,4,0.646,False,182.2
48,49,For The Night (feat. Lil Baby & DaBaby),Shoot For The Stars Aim For The Moon,Pop Smoke,2020-07-03,190476,86,0.823,0.114,0.586,0.0,0.193,-6.606,0.2,125.971,4,0.347,True,190.476
49,50,RITMO (Bad Boys For Life),RITMO (Bad Boys For Life),Black Eyed Peas,2019-10-12,221714,79,0.721,0.0334,0.716,0.00084,0.237,-7.037,0.0657,104.994,4,0.667,True,221.714
50,51,Heart On Ice,PTSD,Rod Wave,2019-06-14,159669,30,0.733,0.0513,0.389,0.0,0.141,-8.468,0.0738,157.878,3,0.244,True,159.669
51,52,Nobody But You (Duet with Gwen Stefani),Fully Loaded: God's Country,Blake Shelton,2019-12-13,194866,70,0.463,0.111,0.653,0.000136,0.172,-5.515,0.0273,143.912,4,0.233,False,194.866
52,53,Trampoline,MELT,SHAED,2018-09-21,184060,69,0.689,0.488,0.412,0.00016,0.0659,-7.523,0.0301,126.754,4,0.537,False,184.06
53,54,Come & Go (with Marshmello),Legends Never Die,Juice WRLD,2020-07-10,205484,86,0.625,0.0172,0.814,0.0,0.158,-5.181,0.0657,144.991,4,0.535,True,205.484
54,55,Truth Hurts,Cuz I Love You (Deluxe),Lizzo,2019-05-03,173325,68,0.715,0.11,0.624,0.0,0.123,-3.046,0.114,158.087,4,0.412,True,173.325
55,56,If the World Was Ending (feat. Julia Michaels),If the World Was Ending (feat. Julia Michaels),JP Saxe,2019-10-17,208687,83,0.464,0.866,0.473,0.0,0.109,-10.086,0.129,75.801,4,0.604,False,208.687
56,57,We Paid (feat. 42 Dugg),My Turn (Deluxe),Lil Baby,2020-05-01,181929,78,0.926,0.135,0.542,0.0,0.0877,-5.064,0.293,135.14,4,0.564,True,181.929
57,58,Yummy,Changes,Justin Bieber,2020-02-14,208520,74,0.676,0.345,0.506,0.0,0.118,-6.652,0.0958,145.842,4,0.497,False,208.52
58,59,One Man Band,Old Dominion,Old Dominion,2019-10-25,186240,77,0.706,0.677,0.358,0.0,0.107,-8.331,0.0347,75.991,4,0.478,False,186.24
59,60,Got What I Got,9,Jason Aldean,2019-11-22,178146,74,0.512,0.621,0.58,1.72e-05,0.513,-6.658,0.029,159.847,3,0.303,False,178.146
60,61,Sunday Best,Where the Light Is,Surfaces,2019-01-06,158571,81,0.878,0.183,0.525,0.0,0.0714,-6.832,0.0578,112.022,4,0.694,False,158.571
61,62,Godzilla (feat. Juice WRLD),Music To Be Murdered By,Eminem,2020-01-17,210800,87,0.808,0.145,0.745,0.0,0.292,-5.26,0.342,165.995,4,0.829,True,210.8
62,63,Bandit (with YoungBoy Never Broke Again),Bandit (with YoungBoy Never Broke Again),Juice WRLD,2019-10-04,189322,84,0.474,0.0687,0.631,0.0,0.132,-5.884,0.343,180.051,4,0.425,True,189.322
63,64,Party Girl,Party Girl,StaySolidRocky,2020-04-21,147800,77,0.728,0.749,0.431,0.0,0.0996,-9.966,0.0622,130.022,4,0.629,False,147.8
64,65,Die From A Broken Heart,Die From A Broken Heart,Maddie & Tae,2018-10-19,188290,68,0.607,0.363,0.514,0.0,0.258,-6.631,0.0323,75.978,4,0.414,False,188.29
65,66,POPSTAR (feat. Drake),POPSTAR (feat. Drake),DJ Khaled,2020-07-17,200221,80,0.8,0.057,0.56,0.0,0.134,-4.818,0.261,163.071,4,0.45,True,200.221
66,67,All I Want for Christmas Is You,Merry Christmas,Mariah Carey,1994-11-01,241106,99,0.336,0.164,0.627,0.0,0.0708,-7.463,0.0384,150.273,4,0.35,False,241.106
67,68,One Of Them Girls,One Of Them Girls,Lee Brice,2020-04-10,188893,76,0.643,0.294,0.79,0.0,0.107,-6.079,0.0462,95.987,4,0.8,False,188.893
68,69,Hard To Forget,SOUTHSIDE,Sam Hunt,2020-04-03,204760,70,0.689,0.23,0.689,0.0,0.57,-5.517,0.045,130.069,4,0.664,False,204.76
69,70,One Margarita,One Margarita,Luke Bryan,2020-03-13,193426,68,0.641,0.0969,0.842,0.0,0.169,-4.872,0.0464,89.997,4,0.738,False,193.426
70,71,Panini,Panini,Lil Nas X,2019-09-13,114893,76,0.703,0.342,0.594,0.0,0.123,-6.146,0.0752,153.848,4,0.475,False,114.893
71,72,Hot (feat. Gunna),So Much Fun,Young Thug,2019-08-16,193026,76,0.855,0.063,0.651,0.0,0.0772,-8.044,0.235,111.997,4,0.559,True,193.026
72,73,I Hope You’re Happy Now,Carly Pearce,Carly Pearce,2020-02-14,198688,73,0.591,0.168,0.815,8.68e-06,0.142,-4.725,0.0366,118.024,4,0.306,False,198.688
73,74,Emotionally Scarred,My Turn,Lil Baby,2020-02-28,197529,75,0.585,0.0286,0.641,0.0,0.316,-4.269,0.133,88.284,4,0.266,True,197.529
74,75,Suicidal (Remix) [feat. Juice WRLD],Suicidal (Remix) [feat. Juice WRLD],YNW Melly,2020-03-13,225857,79,0.655,0.474,0.441,0.0,0.099,-5.245,0.0629,139.957,4,0.273,True,225.857
75,76,The Bigger Picture,The Bigger Picture,Lil Baby,2020-06-12,252728,73,0.59,0.0127,0.618,0.0,0.244,-5.756,0.334,96.459,3,0.153,True,252.728
76,77,Only Human,Happiness Begins,Jonas Brothers,2019-06-07,183000,75,0.795,0.108,0.496,0.0,0.0645,-5.883,0.0722,94.01,4,0.874,False,183.0
77,78,The Woo (feat. 50 Cent & Roddy Ricch),Shoot For The Stars Aim For The Moon,Pop Smoke,2020-07-03,201600,81,0.49,0.0221,0.618,3.77e-06,0.259,-5.655,0.104,99.7,4,0.286,True,201.6
78,79,Sum 2 Prove,Sum 2 Prove,Lil Baby,2020-01-10,205760,75,0.823,0.0174,0.552,0.0,0.122,-7.57,0.324,124.038,4,0.418,True,205.76
79,80,Stuck with U (with Justin Bieber),Stuck with U,Ariana Grande,2020-05-08,228482,87,0.597,0.223,0.45,0.0,0.382,-6.658,0.0418,178.765,3,0.537,False,228.482
80,81,Mood Swings (feat. Lil Tjay),Shoot For The Stars Aim For The Moon,Pop Smoke,2020-07-03,213333,84,0.48,0.487,0.602,0.0,0.0848,-6.335,0.368,179.798,4,0.269,True,213.333
81,82,You should be sad,Manic,Halsey,2020-01-17,205473,78,0.591,0.143,0.585,0.0,0.109,-6.35,0.0277,110.94,4,0.324,True,205.473
82,83,Dior,Meet The Woo,Pop Smoke,2019-07-26,216386,86,0.548,0.212,0.805,0.000389,0.408,-5.732,0.351,142.094,4,0.648,True,216.386
83,84,Supalonely,STELLA & STEVE,BENEE,2019-11-15,223480,78,0.863,0.305,0.631,3.04e-05,0.123,-4.689,0.0534,128.977,4,0.817,True,223.48
84,85,Even Though I'm Leaving,What You See Is What You Get,Luke Combs,2019-11-08,225253,73,0.554,0.225,0.755,0.0,0.301,-6.04,0.0319,77.962,4,0.624,False,225.253
85,86,THE SCOTTS,THE SCOTTS,THE SCOTTS,2020-04-24,165977,81,0.716,0.233,0.537,0.0,0.157,-7.648,0.0514,129.979,4,0.28,True,165.977
86,87,Juicy,Juicy,Doja Cat,2019-08-15,202333,62,0.786,0.0856,0.658,0.0,0.0689,-2.61,0.0661,170.037,4,0.458,True,202.333
87,88,Be Like That - feat. Swae Lee & Khalid,Be Like That (feat. Swae Lee & Khalid),Kane Brown,2020-07-10,191406,80,0.727,0.0469,0.626,2.58e-05,0.126,-8.415,0.0726,86.97,4,0.322,False,191.406
88,89,Homesick,Experiment Extended,Kane Brown,2019-11-01,205400,70,0.701,0.46,0.5,0.0,0.234,-8.82,0.0303,97.028,4,0.409,False,205.4
89,90,Rags2Riches (feat. ATR Son Son),Pray 4 Love,Rod Wave,2020-04-03,167183,24,0.904,0.294,0.252,0.0,0.104,-17.54,0.11,117.994,4,0.227,True,167.183
90,91,Bluebird,Wildcard,Miranda Lambert,2019-11-01,209760,73,0.661,0.038,0.633,2.75e-06,0.124,-5.986,0.0348,81.984,4,0.613,False,209.76
91,92,Wishing Well,Legends Never Die,Juice WRLD,2020-07-10,194621,86,0.65,0.00336,0.613,0.0,0.267,-6.13,0.128,149.972,4,0.0804,True,194.621
92,93,Does To Me (feat. Eric Church),What You See Is What You Get,Luke Combs,2019-11-08,223320,70,0.616,0.311,0.849,0.0,0.311,-4.897,0.0373,113.065,4,0.638,False,223.32
93,94,P*$$Y Fairy (OTW),P*$$Y Fairy (OTW),Jhené Aiko,2020-01-17,181860,74,0.572,0.536,0.519,0.0,0.102,-7.092,0.212,128.331,4,0.35,True,181.86
94,95,ily (i love you baby) (feat. Emilee),ily (i love you baby) (feat. Emilee),Surf Mesa,2019-11-26,176546,82,0.674,0.0686,0.774,0.00188,0.393,-7.567,0.0892,112.05,4,0.33,False,176.546
95,96,More Than My Hometown,More Than My Hometown,Morgan Wallen,2020-04-17,216573,64,0.621,0.601,0.882,0.0,0.132,-5.01,0.0459,126.014,4,0.574,False,216.573
96,97,Lovin' On You,What You See Is What You Get,Luke Combs,2019-11-08,194866,72,0.572,0.00165,0.949,0.000195,0.163,-4.865,0.06,118.974,4,0.53,False,194.866
97,98,Said Sum,Code Red,Moneybagg Yo,2020-09-18,155168,72,0.929,0.0185,0.667,0.0,0.1,-6.789,0.353,126.998,4,0.274,True,155.168
98,99,Slide,Slide,H.E.R.,2019-09-27,238321,70,0.832,0.0807,0.469,8.26e-06,0.207,-9.141,0.339,97.023,4,0.197,True,238.321
99,100,Walk Em Down (feat. Roddy Ricch),Walk Em Down (feat. Roddy Ricch),NLE Choppa,2020-03-19,173288,75,0.867,0.268,0.744,0.0,0.0713,-5.171,0.227,84.005,4,0.645,True,173.288
