,Unnamed: 0,Rank,name,album,artist,release_date,duration_ms,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,explicit,duration_sec
29,29,30,Scars To Your Beautiful,Know-It-All (Deluxe),Alessia Cara,2015-11-13,230226,76,0.573,0.0285,0.739,0.0,0.111,-5.74,0.129,97.085,4,0.451,False,230.226
37,37,38,Don't Wanna Know (feat. Kendrick Lamar),Red Pill Blues (Deluxe),Maroon 5,2017-11-03,214265,0,0.776,0.341,0.62,0.0,0.0978,-6.198,0.067,100.025,4,0.427,False,214.265
38,38,39,Look What You Made Me Do,Look What You Made Me Do,Taylor Swift,2017-08-24,211859,0,0.767,0.21,0.671,1.12e-05,0.129,-6.416,0.142,128.072,4,0.474,False,211.859
42,42,43,Side To Side,Dangerous Woman,Ariana Grande,2016-05-20,226160,11,0.65,0.0528,0.736,0.0,0.235,-5.84,0.229,159.173,4,0.613,True,226.16
43,43,44,Rockabye (feat. Sean Paul & Anne-Marie),Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2016-10-21,251088,78,0.72,0.406,0.763,0.0,0.18,-4.068,0.0523,101.965,4,0.742,False,251.088
45,45,46,Let Me Love You,Encore,DJ Snake,2016-08-05,205946,85,0.649,0.0863,0.716,2.63e-05,0.135,-5.371,0.0349,99.988,4,0.163,False,205.946
48,48,49,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")","CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,2016-05-06,236001,80,0.666,0.0123,0.83,0.0,0.191,-5.715,0.0751,113.03,4,0.702,False,236.001
52,52,53,Rake It Up (feat. Nicki Minaj),I Still Am,Yo Gotti,2017-10-27,276333,72,0.91,0.022,0.444,0.0,0.137,-8.126,0.344,149.953,4,0.53,True,276.333
53,53,54,Mercy,Illuminate (Deluxe),Shawn Mendes,2017-04-20,208733,82,0.555,0.125,0.662,0.0,0.111,-4.952,0.0827,148.128,4,0.356,False,208.733
56,56,57,In Case You Didn't Know,Brett Young,Brett Young,2017-02-10,224853,77,0.607,0.386,0.536,0.0,0.102,-7.306,0.0305,147.986,4,0.434,False,224.853
57,57,58,Heathens,Heathens,Twenty One Pilots,2016-06-16,195920,84,0.732,0.0841,0.396,3.58e-05,0.105,-9.348,0.0286,90.024,4,0.548,False,195.92
62,62,63,Juju on That Beat (TZ Anthem),Juju on That Beat (TZ Anthem),Zay Hilfigerrr,2016-09-30,144244,61,0.807,0.00381,0.887,0.0,0.391,-3.892,0.275,160.517,4,0.78,False,144.244
66,66,67,Praying,Praying,Kesha,2017-07-06,230269,0,0.565,0.48,0.381,0.0,0.109,-7.204,0.0302,73.483,4,0.325,False,230.269
68,68,69,Cold (feat. Future),Red Pill Blues (Deluxe),Maroon 5,2017-11-03,234308,0,0.699,0.13,0.718,0.0,0.043,-6.295,0.116,99.915,4,0.52,True,234.308
71,71,72,What Ifs (feat. Lauren Alaina),Kane Brown,Kane Brown,2016-12-02,188253,75,0.612,0.00898,0.799,0.0,0.172,-4.603,0.0275,125.976,4,0.687,False,188.253
72,72,73,Chained To The Rhythm,Witness,Katy Perry,2017-06-09,237734,0,0.52,0.0763,0.798,0.0,0.144,-5.389,0.0944,95.252,4,0.485,False,237.734
74,74,75,All Time Low,The Human Condition,Jon Bellion,2016-06-10,217603,71,0.617,0.0584,0.567,0.0,0.0933,-4.188,0.0828,90.246,4,0.505,True,217.603
75,75,76,Hurricane,This One's for You,Luke Combs,2017-06-02,222533,77,0.464,0.0153,0.813,0.0,0.254,-6.185,0.0416,75.977,4,0.515,False,222.533
76,76,77,Too Good At Goodbyes,The Thrill Of It All (Special Edition),Sam Smith,2017-11-03,201000,76,0.681,0.64,0.372,0.0,0.169,-8.237,0.0432,91.873,4,0.476,False,201.0
83,83,84,What About Us,What About Us,P!nk,2017-08-10,271519,61,0.386,0.0252,0.594,3.19e-06,0.0873,-6.186,0.0566,113.756,4,0.187,False,271.519
86,86,87,Sign of the Times,Sign of the Times,Harry Styles,2017-04-07,340706,71,0.518,0.0259,0.575,0.0,0.109,-4.616,0.0302,120.019,4,0.209,False,340.706
87,87,88,Water Under The Bridge,25,Adele,2015-11-20,240439,3,0.59,0.0142,0.833,5.35e-06,0.105,-6.503,0.0615,94.963,4,0.537,False,240.439
88,88,89,Malibu,Younger Now,Miley Cyrus,2017-09-29,231906,76,0.573,0.0767,0.781,2.64e-05,0.0813,-6.406,0.0555,139.934,4,0.343,False,231.906
89,89,90,Down,ACT ONE,Marian Hill,2016-06-24,197773,62,0.678,0.675,0.357,0.00569,0.124,-14.712,0.128,113.301,5,0.0661,False,197.773
90,90,91,No Promises (feat. Demi Lovato),No Promises (feat. Demi Lovato),Cheat Codes,2017-03-31,222786,64,0.739,0.0572,0.619,0.0,0.105,-6.669,0.162,112.961,4,0.58,False,222.786
91,91,92,Treat You Better,Illuminate,Shawn Mendes,2017-04-20,187973,85,0.444,0.106,0.819,0.0,0.107,-4.078,0.341,82.695,4,0.747,False,187.973
92,92,93,I Get the Bag (feat. Migos),Mr. Davis,Gucci Mane,2017-10-13,233087,74,0.89,0.0232,0.633,0.000343,0.0993,-5.475,0.168,139.948,4,0.425,True,233.087
93,93,94,Small Town Boy,Current Mood,Dustin Lynch,2017-09-08,205733,71,0.554,0.0251,0.743,0.0,0.359,-6.016,0.0287,72.997,4,0.673,False,205.733
94,94,95,Everyday We Lit (feat. PnB Rock),Long Live Nut,YFN Lucci,2017-03-03,197170,1,0.758,0.128,0.646,0.0,0.0778,-4.701,0.112,155.955,4,0.589,True,197.17
96,96,97,What Lovers Do (feat. SZA),Red Pill Blues (Deluxe),Maroon 5,2017-11-03,199849,0,0.792,0.0805,0.612,3.83e-06,0.0852,-5.212,0.0693,109.959,4,0.42,False,199.849
98,98,99,Look At Me!,Look At Me!,XXXTENTACION,2017-02-20,126345,85,0.763,0.259,0.726,0.0,0.0976,-6.405,0.282,139.059,4,0.349,True,126.345
99,99,100,The Fighter,Ripcord,Keith Urban,2016-05-06,184040,64,0.681,0.0304,0.845,0.0,0.197,-5.147,0.0525,132.023,4,0.761,False,184.04
7,7,8,Memories,Memories,Maroon 5,2019-09-20,189486,38,0.764,0.837,0.32,0.0,0.0822,-7.209,0.0546,91.019,4,0.575,False,189.486
8,8,9,The Bones,GIRL,Maren Morris,2019-03-08,197293,79,0.612,0.278,0.57,0.0,0.0963,-6.642,0.0347,77.004,4,0.334,False,197.293
11,11,12,I Hope (feat. Charlie Puth),Goldmine,Gabby Barrett,2020-06-19,211605,69,0.563,0.171,0.576,0.0,0.158,-6.495,0.0401,75.019,4,0.412,False,211.605
