,name,album,artist,release_date,duration_ms,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,explicit
0,The Box,Please Excuse Me for Being Antisocial,Roddy Ricch,2019-12-06,196652,86,0.896,0.104,0.896,0.586,0.0,0.79,-6.687,0.0559,116.971,4,0.642,True
1,Blinding Lights,After Hours,The Weeknd,2020-03-20,200040,94,0.514,0.00146,0.514,0.73,9.54e-05,0.0897,-5.934,0.0598,171.005,4,0.334,False
2,Blueberry Faygo,Certified Hitmaker,Lil Mosey,2020-02-06,162546,81,0.774,0.207,0.774,0.554,0.0,0.132,-7.909,0.0383,99.034,4,0.349,True
3,ROCKSTAR (feat. Roddy Ricch),BLAME IT ON BABY,DaBaby,2020-04-17,181733,86,0.746,0.247,0.746,0.69,0.0,0.101,-7.956,0.164,89.977,4,0.497,True
4,Life Is Good (feat. Drake),High Off Life,Future,2020-05-15,237918,77,0.795,0.067,0.795,0.574,0.0,0.15,-6.903,0.487,142.053,4,0.537,True
5,Circles,Hollywood's Bleeding,Post Malone,2019-09-06,215280,89,0.695,0.192,0.695,0.762,0.00244,0.0863,-3.497,0.0395,120.042,4,0.553,False
6,ROXANNE,ROXANNE,Arizona Zervas,2019-10-10,163636,83,0.621,0.0522,0.621,0.601,0.0,0.46,-5.616,0.148,116.735,5,0.457,True
7,Watermelon Sugar,Fine Line,Harry Styles,2019-12-13,174000,91,0.548,0.122,0.548,0.816,0.0,0.335,-4.209,0.0465,95.39,4,0.557,False
8,WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),Cardi B,2020-08-07,187541,86,0.935,0.0194,0.935,0.454,0.0,0.0824,-7.509,0.375,133.073,4,0.357,True
9,Falling,Nicotine,Trevor Daniel,2020-03-26,159381,28,0.784,0.123,0.784,0.43,0.0,0.0887,-8.756,0.0364,127.087,4,0.236,False
10,WHATS POPPIN,Sweet Action,Jack Harlow,2020-03-13,139741,82,0.923,0.017,0.923,0.604,0.0,0.272,-6.671,0.245,145.062,4,0.826,True
11,Don't Start Now,Future Nostalgia,Dua Lipa,2020-03-27,183290,85,0.793,0.0123,0.793,0.793,0.0,0.0951,-4.521,0.083,123.95,4,0.679,False
12,Roses - Imanbek Remix,While The World Was Burning,SAINt JHN,2020-11-20,176867,0,0.769,0.0143,0.769,0.719,0.00777,0.359,-5.472,0.0474,121.955,4,0.863,True
13,Intentions (feat. Quavo),Changes,Justin Bieber,2020-02-14,212866,79,0.806,0.3,0.806,0.546,0.0,0.102,-6.637,0.0575,147.986,4,0.874,False
14,Say So,Hot Pink,Doja Cat,2019-11-07,237893,85,0.787,0.264,0.787,0.673,3.35e-06,0.0904,-4.583,0.159,110.962,4,0.779,True
15,Adore You,Fine Line,Harry Styles,2019-12-13,207133,87,0.676,0.0237,0.676,0.771,7e-06,0.102,-3.675,0.0483,99.048,4,0.569,False
16,Toosie Slide,Dark Lane Demo Tapes,Drake,2020-05-01,247058,74,0.83,0.289,0.83,0.49,3.04e-06,0.113,-8.82,0.209,81.604,4,0.845,True
17,High Fashion (feat. Mustard),Please Excuse Me for Being Antisocial,Roddy Ricch,2019-12-06,220486,79,0.831,0.269,0.831,0.499,0.0,0.3,-8.442,0.114,97.956,4,0.511,True
18,death bed (coffee for your head),death bed (coffee for your head),Powfu,2020-02-08,173333,87,0.726,0.731,0.726,0.431,0.0,0.696,-8.765,0.135,144.026,4,0.348,False
19,Sunflower - Spider-Man: Into the Spider-Verse,Hollywood's Bleeding,Post Malone,2019-09-06,157560,83,0.755,0.533,0.755,0.522,0.0,0.0685,-4.368,0.0575,89.96,4,0.925,False
20,Godzilla (feat. Juice WRLD),Music To Be Murdered By,Eminem,2020-01-17,210800,87,0.808,0.145,0.808,0.745,0.0,0.292,-5.26,0.342,165.995,4,0.829,True
21,Sunday Best,Where the Light Is,Surfaces,2019-01-06,158571,81,0.878,0.183,0.878,0.525,0.0,0.0714,-6.832,0.0578,112.022,4,0.694,False
22,Ballin' (with Roddy Ricch),Perfect Ten,Mustard,2019-06-28,180434,82,0.809,0.392,0.809,0.545,0.0,0.151,-6.678,0.0735,97.008,4,0.244,True
23,Lucid Dreams,Goodbye & Good Riddance,Juice WRLD,2018-12-10,239835,88,0.511,0.349,0.511,0.566,0.0,0.34,-7.23,0.2,83.903,4,0.218,True
24,Dance Monkey,Dance Monkey,Tones And I,2019-05-10,209754,68,0.826,0.688,0.826,0.593,0.000161,0.17,-6.401,0.0976,98.083,4,0.541,False
25,BOP,KIRK,DaBaby,2019-09-27,159714,81,0.769,0.189,0.769,0.787,0.0,0.129,-3.909,0.367,126.77,4,0.836,True
26,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,2019-05-17,182160,89,0.501,0.751,0.501,0.405,0.0,0.105,-5.679,0.0319,109.891,4,0.446,False
27,Bandit (with YoungBoy Never Broke Again),Bandit (with YoungBoy Never Broke Again),Juice WRLD,2019-10-04,189322,83,0.474,0.0687,0.474,0.631,0.0,0.132,-5.884,0.343,180.051,4,0.425,True
28,THE SCOTTS,THE SCOTTS,THE SCOTTS,2020-04-24,165977,81,0.716,0.233,0.716,0.537,0.0,0.157,-7.648,0.0514,129.979,4,0.28,True
29,hot girl bummer,everything means nothing,blackbear,2020-08-21,188343,47,0.782,0.125,0.782,0.559,0.0,0.385,-7.106,0.0767,129.992,1,0.685,True
